date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
02/08/2006,67.65,68.68,67.51,68.16,19658365,0.126,1.46%,8.7349,N/A,N/A
03/08/2006,67.91,70,67.8096,69.59,30034029,0.183,2.10%,8.9181,N/A,N/A
04/08/2006,67.05,68.61,64.96,68.3,66165159,-0.165,-1.85%,8.7528,N/A,N/A
07/08/2006,67.72,69.6,66.31,67.21,44477306,-0.14,-1.60%,8.6131,N/A,N/A
08/08/2006,67.09,67.112,64.51,64.78,35623907,-0.311,-3.62%,8.3017,N/A,N/A
09/08/2006,65.43,65.6,63.4,63.59,34122223,-0.153,-1.84%,8.1492,N/A,N/A
10/08/2006,63.25,64.81,62.7,64.07,24913842,0.062,0.75%,8.2107,N/A,N/A
11/08/2006,63.25,64.13,62.58,63.65,27761564,-0.054,-0.66%,8.1569,N/A,N/A
14/08/2006,64.05,65.22,63.6,63.94,25623183,0.037,0.46%,8.1941,N/A,N/A
15/08/2006,65.34,66.5,64.8,66.45,30751212,0.322,3.93%,8.5157,N/A,N/A
16/08/2006,67.1,68.07,66.33,67.98,27870521,0.196,2.30%,8.7118,N/A,N/A
17/08/2006,68,68.66,67.18,67.59,20574144,-0.05,-0.57%,8.6618,N/A,N/A
18/08/2006,67.71,68.4,67.26,67.91,19013383,0.041,0.47%,8.7028,N/A,N/A
21/08/2006,67.3,67.31,66.15,66.56,18788662,-0.173,-1.99%,8.5298,N/A,N/A
22/08/2006,66.68,68.32,66.5,67.62,20598980,0.136,1.59%,8.6657,N/A,N/A
23/08/2006,68,68.65,66.94,67.31,19065493,-0.04,-0.46%,8.6259,N/A,N/A
24/08/2006,67.89,68.19,66.27,67.81,23384853,0.064,0.74%,8.69,N/A,N/A
25/08/2006,67.34,69.05,67.31,68.75,19422431,0.12,1.39%,8.8105,N/A,N/A
28/08/2006,68.5,68.61,66.68,66.98,26357585,-0.227,-2.57%,8.5836,N/A,N/A
29/08/2006,66.99,67.26,65.12,66.48,33812315,-0.064,-0.75%,8.5196,N/A,N/A
30/08/2006,67.335,67.82,66.68,66.96,24292398,0.062,0.72%,8.5811,N/A,N/A
31/08/2006,67.28,68.3,66.66,67.85,20517226,0.114,1.33%,8.6951,N/A,N/A
01/09/2006,68.48,68.65,67.82,68.38,14588416,0.068,0.78%,8.7631,N/A,N/A
05/09/2006,68.97,71.5,68.55,71.48,36126843,0.397,4.53%,9.1603,N/A,N/A
06/09/2006,71.08,71.69,69.7,70.03,34777982,-0.186,-2.03%,8.9745,N/A,N/A
07/09/2006,70.6,73.48,70.25,72.8,45279427,0.355,3.96%,9.3295,N/A,N/A
08/09/2006,73.37,73.57,71.91,72.52,31992365,-0.036,-0.38%,9.2936,N/A,N/A
11/09/2006,72.43,73.73,71.42,72.5,33886323,-0.003,-0.03%,9.291,N/A,N/A
12/09/2006,72.81,73.45,71.45,72.63,60160589,0.017,0.18%,9.3077,N/A,N/A
13/09/2006,72.85,74.32,72.3,74.2,40926196,0.201,2.16%,9.5089,N/A,N/A
14/09/2006,73.72,74.67,73.46,74.17,28626488,-0.004,-0.04%,9.5051,N/A,N/A
15/09/2006,74.6,74.98,73.29,74.1,35057405,-0.009,-0.09%,9.4961,N/A,N/A
18/09/2006,73.8,74.86,73.3,73.89,25186400,-0.027,-0.28%,9.4692,N/A,N/A
19/09/2006,74.1,74.36,72.8,73.77,25351341,-0.015,-0.16%,9.4538,N/A,N/A
20/09/2006,74.38,75.68,74.22,75.26,29366730,0.191,2.02%,9.6447,N/A,N/A
21/09/2006,75.25,76.06,74.02,74.65,28351542,-0.078,-0.81%,9.5666,N/A,N/A
22/09/2006,74.3,74.34,72.58,73,23750568,-0.211,-2.21%,9.3551,N/A,N/A
25/09/2006,73.81,75.86,73.72,75.75,30672720,0.352,3.77%,9.7075,N/A,N/A
26/09/2006,76.18,77.78,76.1,77.61,39386678,0.238,2.46%,9.9459,N/A,N/A
27/09/2006,77.17,77.47,75.82,76.41,28901724,-0.154,-1.55%,9.7921,N/A,N/A
28/09/2006,77.02,77.48,75.95,77.01,25811564,0.077,0.79%,9.869,N/A,N/A
29/09/2006,77.11,77.52,76.68,76.98,14469677,-0.004,-0.04%,9.8652,N/A,N/A
02/10/2006,75.1,75.87,74.3,74.86,25436087,-0.272,-2.75%,9.5935,N/A,N/A
03/10/2006,74.45,74.95,73.19,74.07,25406431,-0.101,-1.06%,9.4922,N/A,N/A
04/10/2006,74.1,75.462,73.16,75.38,29523912,0.168,1.77%,9.6601,N/A,N/A
05/10/2006,74.53,76.16,74.13,74.83,24067317,-0.07,-0.73%,9.5896,N/A,N/A
06/10/2006,74.42,75.04,73.81,74.22,16673705,-0.078,-0.82%,9.5115,N/A,N/A
09/10/2006,73.8,75.08,73.53,74.63,15650114,0.053,0.55%,9.564,N/A,N/A
10/10/2006,74.54,74.58,73.08,73.81,18976151,-0.105,-1.10%,9.4589,N/A,N/A
11/10/2006,73.42,73.98,72.6,73.23,20412878,-0.074,-0.79%,9.3846,N/A,N/A
12/10/2006,73.61,75.39,73.6,75.26,21164473,0.26,2.77%,9.6447,N/A,N/A
13/10/2006,75.63,76.88,74.74,75.02,24425387,-0.031,-0.32%,9.614,N/A,N/A
16/10/2006,75.19,75.88,74.789,75.4,18165671,0.049,0.51%,9.6627,N/A,N/A
